Profession,Name,Tool,.,Consumes,Produces,,Prof,Focus,Success%,HQ%,AD used/try,Success cost,AD produced/try,Margin%,Net profit,Commission,Dab Hand?,Unlock,,Base commission,Artisan %,Commission,Commissioncost,Success%,HQ%,AD used,AD produced,AVGsucces%,Fail%,Normal%,HQ%,Dab%,DabHQ%,Recycle%,Recyclex100,Dabx100,DabHQx100,Normalx100,HQx100,,Con1,Con1 #,Con2,Con2 #,Con3,Con3 #,Con4,Con4 #,Con5,Con5 #,PCON1,PCON2,PCON3,PCON4,PCON5,TOTAL CON,T3prod1,#,ProdReg,ProdHQ,ProdHQfallback,Profession,Name,Tool,Unlock,Consumes,Produces,Dab Hand?
Alchemy,Lakh Varnish,#N/A,15x,Lakh Resin,3x,Lakh Varnish,1400,1400,79.43%,6.14%,"77,500","92,789",No AH value,,,0.4125,Yes,Chultan Masterwork - Alchemy I,,1.65,-75,0.4125,0,0.7942857143,0.06142857143,77500,No AH value,91.27%,20.57%,74.55%,4.88%,14.91%,0.98%,6.17%,"478,286",0,0,0,0,,Lakh Resin,15,Terebinth,5,,,,,,,37500,40000,-999,-999,-999,77500,Lakh Varnish,3,0,0,0,Alchemy,Lakh Varnish,,Chultan Masterwork - Alchemy I,Lakh Resin,Lakh Varnish,Yes
Alchemy,,,5x,Terebinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Terebinth,,
Alchemy,Living Varnish,#N/A,1x,Tear of Ubtao,3x,Living Varnish,1400,1400,79.43%,6.14%,0,0,No AH value,,,0.4125,Yes,Chultan Masterwork - Alchemy I,,1.65,-75,0.4125,0,0.7942857143,0.06142857143,0,No AH value,91.27%,20.57%,74.55%,4.88%,14.91%,0.98%,6.17%,0,0,0,0,0,,Tear of Ubtao,1,Lakh Varnish,3,,,,,,,0,0,-999,-999,-999,0,Living Varnish,3,0,0,0,Alchemy,Living Varnish,,Chultan Masterwork - Alchemy I,Tear of Ubtao,Living Varnish,Yes
Alchemy,,,3x,Lakh Varnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Lakh Varnish,,
Alchemy,Crafted Potion of Accuracy Rank 3,#N/A,12x,Chultan Spring Water,12x,Crafted Potion of Accuracy Rank 3,1400,1400,79.43%,6.14%,"20,400","24,424",No AH value,,,1.2500,No,Chultan Masterwork - Alchemy II,,5,-75,1.25,0,0.7942857143,0.06142857143,20400,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"125,897",0,0,0,0,,Chultan Spring Water,12,Chultan Tea Leaves,1,Alkali,1,Sugar Beet,12,,,6000,4400,10000,0,-999,20400,Crafted Potion of Accuracy Rank 3,12,0,0,0,Alchemy,Crafted Potion of Accuracy Rank 3,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Crafted Potion of Accuracy Rank 3,No
Alchemy,,,1x,Chultan Tea Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Chultan Tea Leaves,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,12x,Sugar Beet,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Sugar Beet,,
Alchemy,Crafted Potion of Critical Strike Rank 3,#N/A,12x,Chultan Spring Water,12x,Crafted Potion of Critical Strike Rank 3,1400,1400,79.43%,6.14%,"20,400","24,424",No AH value,,,1.2500,No,Chultan Masterwork - Alchemy II,,5,-75,1.25,0,0.7942857143,0.06142857143,20400,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"125,897",0,0,0,0,,Chultan Spring Water,12,Chultan Tea Leaves,1,Alkali,1,Aberrant Blood,12,,,6000,4400,10000,0,-999,20400,Crafted Potion of Critical Strike Rank 3,12,0,0,0,Alchemy,Crafted Potion of Critical Strike Rank 3,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Crafted Potion of Critical Strike Rank 3,No
Alchemy,,,1x,Chultan Tea Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Chultan Tea Leaves,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,12x,Aberrant Blood,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Aberrant Blood,,
Alchemy,Crafted Potion of Defense Rank 3,#N/A,12x,Chultan Spring Water,12x,Crafted Potion of Defense Rank 3,1400,1400,79.43%,6.14%,"20,400","24,424",No AH value,,,1.2500,No,Chultan Masterwork - Alchemy II,,5,-75,1.25,0,0.7942857143,0.06142857143,20400,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"125,897",0,0,0,0,,Chultan Spring Water,12,Chultan Tea Leaves,1,Alkali,1,Aberrant Bone,12,,,6000,4400,10000,0,-999,20400,Crafted Potion of Defense Rank 3,12,0,0,0,Alchemy,Crafted Potion of Defense Rank 3,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Crafted Potion of Defense Rank 3,No
Alchemy,,,1x,Chultan Tea Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Chultan Tea Leaves,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,12x,Aberrant Bone,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Aberrant Bone,,
Alchemy,Crafted Potion of Deflect Rank 3,#N/A,12x,Chultan Spring Water,12x,Crafted Potion of Deflect Rank 3,1400,1400,79.43%,6.14%,"20,400","24,424",No AH value,,,1.2500,No,Chultan Masterwork - Alchemy II,,5,-75,1.25,0,0.7942857143,0.06142857143,20400,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"125,897",0,0,0,0,,Chultan Spring Water,12,Chultan Tea Leaves,1,Alkali,1,Chamomile,12,,,6000,4400,10000,0,-999,20400,Crafted Potion of Deflect Rank 3,12,0,0,0,Alchemy,Crafted Potion of Deflect Rank 3,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Crafted Potion of Deflect Rank 3,No
Alchemy,,,1x,Chultan Tea Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Chultan Tea Leaves,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,12x,Chamomile,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Chamomile,,
Alchemy,Crafted Potion of Power Rank 3,#N/A,12x,Chultan Spring Water,12x,Crafted Potion of Power Rank 3,1400,1400,79.43%,6.14%,"20,400","24,424",No AH value,,,1.2500,No,Chultan Masterwork - Alchemy II,,5,-75,1.25,0,0.7942857143,0.06142857143,20400,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"125,897",0,0,0,0,,Chultan Spring Water,12,Chultan Tea Leaves,1,Alkali,1,Beast Horn,12,,,6000,4400,10000,0,-999,20400,Crafted Potion of Power Rank 3,12,0,0,0,Alchemy,Crafted Potion of Power Rank 3,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Crafted Potion of Power Rank 3,No
Alchemy,,,1x,Chultan Tea Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Chultan Tea Leaves,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,12x,Beast Horn,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Beast Horn,,
